Overall,Social,Economic,Random ID,BFI_extraversion,BFI_agreeableness,BFI_conscientiousness,BFI_emot_stability,BFI_openness,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emot_stability,TIPI_openness,BFI10_1,BFI10_2,BFI10_3,BFI10_4,BFI10_5,BFI10_6,BFI10_7,BFI10_8,BFI10_9,BFI10_10,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10
3,3,3,29510,4,4.5,4.5,4,2.5,6.5,6.5,6.5,5,4.5,3,4,4,4,2,5,5,5,4,3,7,7,7,4,7,6,6,6,6,2
1,1,1,74823,4,4,3,4,5,5.5,4.5,4.5,6,6.5,4,5,2,4,5,4,3,4,4,5,6,2,6,6,7,5,7,3,6,6
2,1,3,80304,3.5,4.5,4.5,3.5,4,3,5.5,5.5,4.5,6,2,5,4,4,4,5,4,5,3,4,3,4,6,3,7,3,7,5,6,5
3,3,4,17693,2.5,4.5,5,3.5,4.5,4,5,6.5,6,4.5,2,5,5,4,5,3,4,5,3,4,4,5,7,6,5,4,5,6,6,4
2,2,2,60438,4,3.5,5,4.5,4,6,5,7,6,5.5,4,4,5,4,4,4,3,5,5,4,6,4,7,6,6,6,6,7,6,5
4,3,4,57509,4.5,4,5,5,3,7,5.5,6.5,6,5.5,5,5,5,5,3,4,3,5,5,3,7,5,6,7,7,7,6,7,5,4
2,2,3,41340,4.5,2,4.5,2,3.5,6,4.5,7,3,5,4,2,4,2,2,5,2,5,2,5,6,6,7,3,6,6,3,7,3,4
1,1,1,99999,1.5,2,3,2,3,2.5,4.5,5,4,6,2,2,2,3,2,1,2,4,1,4,2,5,5,3,6,3,4,5,5,6
2,2,2,31755,4.5,4.5,3,5,4.5,6,6.5,5.5,6,6,4,4,2,5,5,5,5,4,5,4,6,6,5,7,6,6,7,6,5,6
4,2,3,92256,3,2,4,4,4,4,4,6.5,5,6.5,2,2,4,4,4,4,2,4,4,4,3,3,7,6,7,5,5,6,4,6
1,1,2,86893,5,4.5,2,3.5,3.5,7,5,2,5.5,4.5,5,5,2,3,4,5,4,2,4,3,7,4,2,6,6,7,6,2,5,3
2,2,2,73386,3.5,3,4,4,3,5,5,6.5,5,4.5,3,2,4,4,4,4,4,4,4,2,5,5,7,5,6,5,5,6,5,3
2,2,3,22991,4.5,4,5,2,4.5,6.5,5,6,4.5,6.5,4,4,5,2,4,5,4,5,2,5,6,3,5,4,7,7,7,7,5,6
2,2,3,67096,4.5,3.5,4,3.5,3,6,7,6.5,4.5,4.5,4,4,4,4,3,5,3,4,3,3,6,7,6,3,6,6,7,7,6,3
2,1,2,36563,2.5,3,4,1,2.5,4,5.5,6.5,2.5,5.5,2,3,4,1,2,3,3,4,1,3,5,5,6,2,7,3,6,7,3,4
2,3,2,30610,4,1.5,4.5,3.5,5,4,6.5,6,6.5,6,4,1,5,5,5,4,2,4,2,5,5,6,6,7,6,3,7,6,6,6
3,2,3,18493,4,3,4,2,3.5,5,4.5,6,3,5.5,4,4,4,2,4,4,2,4,2,3,5,3,6,2,7,5,6,6,4,4
2,2,3,33780,2,4.5,4.5,3.5,4,2,4.5,6,5,5.5,2,5,5,4,4,2,4,4,3,4,2,5,6,4,6,2,4,6,6,5
4,1,2,24079,3,5,2.5,1,2,3,7,7,3.5,4,2,5,1,1,2,4,5,4,1,2,5,7,7,1,7,1,7,7,6,1
2,2,2,53458,3.5,4.5,4,4,3.5,4,5,6,5.5,5,3,5,4,4,4,4,4,4,4,3,5,4,6,6,6,3,6,6,5,4
2,1,2,30544,5,5,5,3.5,3.5,7,7,6,4,6,5,5,5,5,3,5,5,5,2,4,7,7,7,3,7,7,7,5,5,5
2,2,4,39816,4.5,4,4,5,3,6.5,6.5,4,6.5,3,5,4,4,5,2,4,4,4,5,4,6,7,5,6,3,7,6,3,7,3
3,2,3,37087,2,3.5,4.5,2,5,3,2,6.5,4,6,2,3,5,2,5,2,4,4,2,5,3,2,7,3,6,3,2,6,5,6
2,1,2,47400,3.5,2.5,4.5,1,3.5,5,4.5,6.5,1.5,6,2,2,4,1,2,5,3,5,1,5,5,4,7,1,7,5,5,6,2,5
2,1,1,87833,2,3,3,3.5,1.5,2.5,6,6.5,6,3,2,5,2,5,2,2,1,4,2,1,3,6,6,6,5,2,6,7,6,1
3,2,2,90713,5,3.5,4.5,4.5,4,6.5,6.5,4.5,6.5,5.5,5,4,4,5,3,5,3,5,4,5,7,6,6,6,6,6,7,3,7,5
2,1,3,48397,3,4,4,4.5,3,4,6,6,4.5,5.5,2,5,3,5,2,4,3,5,4,4,5,5,6,4,6,3,7,6,5,5
3,2,3,69188,3,4.5,4.5,3.5,3,3.5,6.5,6.5,6.5,6,2,4,5,4,2,4,5,4,3,4,5,7,6,7,6,2,6,7,6,6
2,2,2,45476,5,3,4.5,4.5,4.5,6.5,4.5,6.5,6,4.5,5,4,4,5,4,5,2,5,4,5,6,3,7,6,5,7,6,6,6,4
3,4,2,93910,3.5,4,3,2.5,3,6.5,4.5,2.5,4,6.5,2,4,2,2,1,5,4,4,3,5,7,3,2,6,6,6,6,3,2,7
2,1,2,16639,3.5,4.5,3,3.5,5,5.5,5,4,5.5,5,2,5,1,5,5,5,4,5,2,5,7,3,5,4,7,4,7,3,7,3
1,1,2,28232,2,2.5,4.5,3.5,2.5,4,3.5,5,5.5,5,2,3,5,4,2,2,2,4,3,3,4,2,5,6,5,4,5,5,5,5
2,2,1,62817,5,4,3,2.5,2,6.5,6.5,3,4,5,5,4,2,4,2,5,4,4,1,2,7,6,3,2,7,6,7,3,6,3
2,2,3,33050,3,4,5,3.5,3.5,3.5,6.5,7,6,5.5,2,4,5,4,4,4,4,5,3,3,4,6,7,6,6,3,7,7,6,5
2,1,1,51897,4,3.5,4.5,1.5,2,5,5.5,5.5,4,6.5,4,4,4,2,1,4,3,5,1,3,5,4,5,2,7,5,7,6,6,6
4,3,4,26721,1.5,1,4,3,3,1.5,2,6,5,3.5,1,1,3,4,3,2,1,5,2,3,2,2,7,4,4,1,2,5,6,3
1,1,1,21263,4,4,3.5,3,4,5,6,5.5,6,6,4,4,2,4,4,4,4,5,2,4,5,7,5,6,7,5,5,6,6,5
2,1,3,19363,3.5,4,5,1.5,3.5,5,5.5,7,4,5.5,3,4,5,1,3,4,4,5,2,4,6,4,7,3,7,4,7,7,5,4
2,1,3,42223,5,2.5,4.5,2,4.5,7,3.5,6.5,3,4.5,5,4,4,2,5,5,1,5,2,4,7,1,7,1,6,7,6,6,5,3
1,1,2,64533,3,3.5,3,2,2,4,5,6,4,4,2,4,2,3,2,4,3,4,1,2,4,5,6,2,4,4,5,6,6,4
2,2,2,96652,1.5,4,3.5,4,4,2.5,3,6,5.5,5.5,1,4,3,4,4,2,4,4,4,4,3,3,6,5,7,2,3,6,6,4
2,2,3,50240,5,3.5,5,3,4,7,3.5,7,5,6,5,4,5,2,4,5,3,5,4,4,7,3,7,7,6,7,4,7,3,6
3,1,4,29896,2,2,3,1,5,5.5,2.5,3,1,5.5,2,2,3,1,5,2,2,3,1,5,5,3,3,1,5,6,2,3,1,6
1,1,1,50610,1.5,2.5,4.5,5,3,3.5,2.5,6.5,5.5,7,1,3,5,5,1,2,2,4,5,5,5,2,7,7,7,2,3,6,4,7
3,2,3,75507,2.5,3.5,4,2.5,3.5,3,5,5,4,4.5,2,4,4,3,4,3,3,4,2,3,3,5,5,3,5,3,5,5,5,4
2,2,2,37654,3,4,3.5,3,4,2.5,5,6.5,4.5,6,3,4,3,4,4,3,4,4,2,4,3,5,6,4,6,2,5,7,5,6
1,1,2,10183,5,2,4,2.5,4.5,7,6,6,2.5,6,5,2,4,2,5,5,2,4,3,4,7,6,6,2,6,7,6,6,3,6
1,1,1,33011,3,3,4.5,4,4,5.5,4.5,6,4,5.5,2,4,4,4,4,4,2,5,4,4,6,2,5,3,6,5,7,7,5,5
2,3,2,67220,4.5,2.5,5,4.5,3,6,3.5,6,7,6,4,3,5,5,2,5,2,5,4,4,6,2,6,7,6,6,5,6,7,6
2,2,2,99583,4.5,5,4.5,3,4.5,6.5,6,6,6,6.5,4,5,5,4,5,5,5,4,2,4,6,6,6,6,7,7,6,6,6,6
3,2,4,35312,3,3,4.5,1.5,2.5,4.5,6,7,4,4.5,2,3,5,2,2,4,3,4,1,3,5,5,7,3,4,4,7,7,5,5
2,1,2,45233,5,4,4.5,2,4,7,6,6.5,2.5,6,5,4,5,2,3,5,4,4,2,5,7,5,6,2,6,7,7,7,3,6
2,2,3,51129,3.5,1.5,4.5,4.5,4.5,3.5,3,5.5,5,6,3,1,4,5,5,4,2,5,4,4,4,2,6,6,7,3,4,5,4,5
2,1,1,82795,4,3.5,5,2.5,2.5,6,4,6.5,4.5,6,4,5,5,1,1,4,2,5,4,4,6,3,6,5,6,6,5,7,4,6
3,1,4,10883,2,3.5,2.5,2.5,2.5,3.5,5.5,4.5,4,3.5,2,5,1,3,3,2,2,4,2,2,4,6,6,3,3,3,5,3,5,4
3,2,3,50001,1,3.5,5,2,2.5,1,3.5,6.5,5,3.5,1,5,5,2,1,1,2,5,2,4,1,3,7,3,5,1,4,6,7,2
2,2,2,27782,4.5,4,4.5,3,5,6.5,6,6,2.5,4.5,4,4,4,1,5,5,4,5,5,5,7,6,7,2,6,6,6,5,3,3
3,2,3,67170,4,3,3.5,2.5,3.5,5.5,5,6,4,5.5,4,4,4,2,3,4,2,3,3,4,6,5,6,3,5,5,5,6,5,6
4,3,4,57368,4.5,3.5,4,2,2.5,7,4.5,7,5.5,4,4,4,3,2,2,5,3,5,2,3,7,3,7,5,6,7,6,7,6,2
2,2,2,88908,1,2,3.5,2,4,1,4.5,6.5,4.5,4.5,1,2,2,2,4,1,2,5,2,4,1,6,7,3,4,1,3,6,6,5
3,3,3,11436,4,4.5,4.5,4,2.5,6,6.5,7,5,4.5,4,5,4,4,3,4,4,5,4,2,6,6,7,5,6,6,7,7,5,3
3,4,3,83816,3,2.5,5,3,5,3.5,5,7,6.5,7,2,1,5,4,5,4,4,5,2,5,2,6,7,6,7,5,4,7,7,7
1,1,1,12925,3,3.5,3.5,3.5,4,4,4.5,6,5,6.5,2,5,2,4,4,4,2,5,3,4,5,3,6,4,7,3,6,6,6,6
3,1,5,31259,4,3.5,5,3.5,3,6.5,4,6,5,6,3,4,5,3,2,5,3,5,4,4,7,3,6,7,6,6,5,6,3,6
3,2,4,35976,2.5,4,3.5,3,4,2.5,4.5,4.5,5,4.5,2,4,3,4,4,3,4,4,2,4,3,4,5,4,5,2,5,4,6,4
