codpanelista2,wave,sex,age,education,hhincome,livingpartner,lrself,voteintentionspain,polintr,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,authoa,authob,authoc,authod,populisma,populismb,populismc,populismd,populisme,populismf,immigeco,immicult,femstrike,femdemonstrate,feminfo,femtalk,constpref,vote2016
3,2017,2,33,3,3,NA,5,4,2,3,6,2,4,3,7,6,3,2,2,2,2,1,4,4,4,2,5,5,4,7,NA,NA,NA,NA,2,1
3,2018,2,34,3,3,1,5,4,1,2,5,3,2,3,7,6,3,1,2,2,2,1,5,5,5,1,4,2,5,4,1,1,1,1,1,1
3,2019,2,35,3,4,0,6,23,1,4,3,4,4,4,2,4,4,4,2,1,2,1,5,4,5,2,5,6,4,7,2,2,1,1,1,NA
3,2020,2,36,3,3,1,5,23,1,3,5,3,3,4,5,5,4,4,2,1,2,1,5,4,4,2,5,5,3,8,2,2,2,1,2,NA
5,2017,1,27,8,99,NA,5,54,4,1,2,2,2,2,5,5,3,2,2,1,2,2,2,2,3,2,2,2,8,2,NA,NA,NA,NA,5,50
5,2018,1,28,8,99,1,3,54,3,2,6,2,2,2,5,5,4,1,2,1,2,2,5,4,5,6,5,7,7,4,2,2,2,2,5,NA
5,2019,1,29,8,7,1,5,7,3,2,6,1,2,2,5,5,3,2,2,2,2,1,5,4,4,5,3,6,7,4,2,2,2,2,5,NA
5,2020,1,30,8,8,1,5,55,3,2,5,5,2,3,6,5,3,3,2,2,2,2,5,5,4,5,3,6,7,5,2,2,2,2,5,NA
8,2017,2,35,8,7,NA,5,4,4,4,4,4,4,4,4,5,4,4,2,2,2,1,5,4,4,7,5,7,7,2,NA,NA,NA,NA,1,NA
10,2017,2,26,10,4,NA,2,53,4,3,4,3,4,4,4,5,4,5,2,2,2,1,4,4,6,4,4,7,5,10,NA,NA,NA,NA,3,3
10,2018,2,27,10,4,0,3,53,4,4,5,4,4,3,5,5,4,4,1,1,1,1,4,4,4,4,4,4,0,10,2,2,2,2,2,NA
10,2019,2,28,10,7,0,3,1,4,3,5,3,3,4,5,4,5,3,2,1,1,1,4,4,5,4,4,7,3,6,2,2,2,2,2,NA
10,2020,2,29,10,7,0,3,55,4,4,4,4,3,4,5,5,4,4,1,1,2,1,4,4,4,4,4,7,0,10,2,2,2,2,1,NA
14,2017,1,43,8,8,NA,3,3,2,1,7,1,1,2,7,7,1,1,1,1,2,1,7,2,5,6,6,6,8,2,NA,NA,NA,NA,4,3
16,2017,1,50,3,5,NA,2,1,2,4,3,4,5,5,4,4,4,3,2,2,2,1,7,4,5,4,5,5,1,6,NA,NA,NA,NA,3,1
17,2017,2,36,3,99,NA,3,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,8,7,NA,NA,NA,NA,2,56
17,2018,2,37,3,2,1,2,54,3,4,5,6,6,6,6,6,5,5,2,2,2,2,7,7,7,7,7,2,3,2,2,2,2,2,2,NA
17,2019,2,38,3,5,1,9,1,3,7,7,1,1,1,7,7,7,1,2,2,1,1,7,6,5,1,1,7,9,9,1,1,2,1,3,NA
19,2017,2,45,11,7,NA,5,53,3,2,6,3,3,1,6,6,3,2,2,2,2,2,2,3,2,2,2,6,2,9,NA,NA,NA,NA,2,56
20,2017,2,26,11,99,NA,6,53,4,2,5,1,1,1,4,6,3,1,2,1,2,1,3,1,4,1,1,7,5,5,NA,NA,NA,NA,3,NA
20,2018,2,27,11,99,0,5,54,3,2,5,1,2,2,4,5,5,2,2,1,2,1,1,2,1,2,1,7,8,4,2,2,2,2,2,NA
21,2017,1,29,8,5,NA,5,54,2,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,4,5,5,NA,NA,NA,NA,3,2
21,2018,1,30,5,7,1,5,4,2,4,4,4,4,4,4,4,4,4,2,2,2,1,4,4,4,4,4,4,5,5,2,2,2,2,3,1
21,2019,1,31,5,6,1,5,2,2,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,4,5,5,2,2,2,2,3,NA
21,2020,1,32,5,6,1,5,2,3,4,4,4,4,4,4,4,4,4,1,2,2,1,4,4,4,5,5,7,5,5,2,2,2,2,3,NA
22,2017,2,45,9,6,NA,2,4,3,2,6,3,1,1,6,6,2,1,1,1,2,1,5,6,3,5,5,7,7,5,NA,NA,NA,NA,4,4
22,2018,2,46,9,6,0,2,4,3,2,6,2,1,2,6,6,3,2,2,1,2,1,6,4,2,6,5,7,5,5,2,1,2,2,4,4
22,2019,2,47,9,6,0,2,4,3,1,5,3,1,1,6,6,3,2,2,1,2,1,6,4,6,6,6,6,6,3,2,2,2,2,3,NA
22,2020,2,48,9,7,0,2,1,3,5,4,3,2,2,4,6,5,2,2,2,2,1,5,4,5,4,5,6,5,6,2,2,2,2,3,NA
23,2019,1,52,11,10,1,5,54,2,3,3,3,3,3,3,3,4,3,1,2,2,1,4,4,4,4,4,5,7,7,2,2,2,2,4,NA
23,2020,1,53,11,9,1,5,53,2,4,4,4,4,4,4,4,5,4,1,1,2,1,5,4,4,4,5,5,8,8,2,2,2,2,3,NA
25,2017,1,28,10,99,NA,3,3,2,2,5,2,3,3,5,5,4,2,2,1,2,1,5,5,5,4,4,6,8,7,NA,NA,NA,NA,4,3
25,2018,1,29,10,99,1,4,5,2,2,7,2,2,2,6,6,4,2,2,2,2,1,6,6,6,5,4,6,5,0,2,2,1,1,4,5
25,2019,1,30,10,8,1,2,3,2,2,6,2,6,4,7,6,5,2,1,1,2,1,4,4,4,4,4,4,8,8,2,2,2,2,4,NA
25,2020,1,31,10,8,1,3,3,2,2,6,2,2,3,6,6,3,2,1,1,2,1,4,3,5,4,2,4,9,2,2,2,2,2,3,NA
26,2019,2,48,3,99,1,3,1,3,2,6,2,2,3,6,7,5,3,2,1,2,1,2,2,4,4,6,6,7,7,1,1,1,1,3,NA
31,2017,2,45,11,8,NA,5,54,4,3,6,3,2,2,5,4,4,3,2,2,2,2,4,4,4,4,4,5,1,7,NA,NA,NA,NA,3,NA
31,2018,2,46,11,10,0,6,4,3,1,6,1,1,1,5,5,1,3,2,1,2,1,3,4,5,3,3,5,0,10,2,2,2,2,3,4
31,2019,2,47,11,8,0,6,4,2,1,6,1,2,2,6,5,3,1,2,1,2,1,1,4,4,1,1,7,0,10,2,2,2,2,3,NA
31,2020,2,48,11,8,0,4,1,3,4,5,2,4,4,4,4,4,4,2,1,2,1,4,4,3,4,4,5,1,9,2,2,2,2,3,NA
