Treated,ClosestParty,strongPARTISAN,ControlScenario_1,ControlScenario_2,ControlScenario_3,TreatmentScenario _1,TreatmentScenario _2,TreatmentScenario _3,RepublicanAffect_1,RepublicanAffect_2,RepublicanAffect_3,RepublicanAffect_4,DemocraticAffect_1,DemocraticAffect_2,DemocraticAffect_3,DemocraticAffect_4,RepublicanIdentity_1,RepublicanIdentity_2,RepublicanIdentity_3,RepublicanIdentity_4,DemocraticIdentity_1,DemocraticIdentity_2,DemocraticIdentity_3,DemocraticIdentity_4,gender,college_stats,year,US,InPartyAffect_1,InPartyAffect_2,InPartyAffect_3,InPartyAffect_4,InPartyAffect_avg,OutPartyAffect_1,OutPartyAffect_2,OutPartyAffect_3,OutPartyAffect_4,OutPartyAffect_avg,InPartyIdentity_1,InPartyIdentity_2,InPartyIdentity_3,InPartyIdentity_4,InPartyIdentity_avg,OutPartyIdentity_1,OutPartyIdentity_2,OutPartyIdentity_3,OutPartyIdentity_4,OutPartyIdentity_avg,AffectDiff_1,AffectDiff_2,AffectDiff_3,AffectDiff_4,AffectDiff_avg,IdentityDiff_1,IdentityDiff_2,IdentityDiff_3,IdentityDiff_4,IdentityDiff_avg
FALSE,the Democratic Party,FALSE,Historical buildings,The Charles River,New shopping center,NA,NA,NA,4,6,4,4,4,6,4,4,4,7,4,4,5,7,4,4,NA,NA,NA,NA,4,6,4,4,4.5,4,6,4,4,4.5,5,7,4,4,5,4,7,4,4,4.75,0,0,0,0,0,1,0,0,0,0.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,Election Day,Twitter/X,"Weather
Weather",2,4,3,3,6,5,7,7,2,3,2,3,7,6,5,5,Woman,FALSE,2,TRUE,6,5,7,7,6.25,2,4,3,3,3,7,6,5,5,5.75,2,3,2,3,2.5,4,1,4,4,3.25,5,3,3,2,3.25
FALSE,the Democratic Party,FALSE,Old and historic buildings.,Fields of green grass.,Different cars on the highway.,NA,NA,NA,2,2,5,4,7,7,5,6,3,4,2,2,7,4,4,4,NA,NA,NA,NA,7,7,5,6,6.25,2,2,5,4,3.25,7,4,4,4,4.75,3,4,2,2,2.75,5,5,0,2,3,4,0,2,2,2
FALSE,the Democratic Party,TRUE,coast line,Tree with great foliage,Beautiful churches,NA,NA,NA,2,2,1,1,5,6,5,4,2,2,1,2,5,5,4,5,Woman,TRUE,2,TRUE,5,6,5,4,5,2,2,1,1,1.5,5,5,4,5,4.75,2,2,1,2,1.75,3,4,4,3,3.5,3,3,3,3,3
TRUE,the Democratic Party,FALSE,NA,NA,NA,the weather,what we both do professionally,how we feel about daylight savings,3,3,4,4,4,3,4,4,3,2,4,4,5,5,4,4,Woman,TRUE,3,TRUE,4,3,4,4,3.75,3,3,4,4,3.5,5,5,4,4,4.5,3,2,4,4,3.25,1,0,0,0,0.25,2,3,0,0,1.25
FALSE,the Democratic Party,FALSE,Trees,Lakes,Buildings,NA,NA,NA,1,1,2,2,5,5,5,5,2,3,3,3,5,5,5,6,NA,NA,NA,NA,5,5,5,5,5,1,1,2,2,1.5,5,5,5,6,5.25,2,3,3,3,2.75,4,4,3,3,3.5,3,2,2,3,2.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,family,fear,scapegoat,2,3,3,3,6,5,4,4,2,3,3,2,2,5,2,5,Woman,TRUE,4,TRUE,6,5,4,4,4.75,2,3,3,3,2.75,2,5,2,5,3.5,2,3,3,2,2.5,4,2,1,1,2,0,2,-1,3,1
TRUE,the Democratic Party,TRUE,NA,NA,NA,The weather,Travel plans for the holidays,Boston food scene,2,1,3,3,6,5,5,6,3,3,4,3,5,5,3,4,Woman,TRUE,3,TRUE,6,5,5,6,5.5,2,1,3,3,2.25,5,5,3,4,4.25,3,3,4,3,3.25,4,4,2,3,3.25,2,2,-1,1,1
FALSE,the Democratic Party,TRUE,Fall foliage,People walking on the sidewalk with their dogs,A mix of houses that show different socioeconomic status,NA,NA,NA,3,3,3,3,5,4,5,5,3,4,4,4,5,6,4,4,Woman,TRUE,2,TRUE,5,4,5,5,4.75,3,3,3,3,3,5,6,4,4,4.75,3,4,4,4,3.75,2,1,2,2,1.75,2,2,0,0,1
FALSE,the Democratic Party,FALSE,The foliage has started to change colors.,The city lights are slowly turning on as the sun sets.,The orange skyline turns to a dark red as parts of the sky turn a dark shade of blue.,NA,NA,NA,3,4,4,3,4,5,4,3,6,5,3,6,1,7,1,6,Man,FALSE,2,TRUE,4,5,4,3,4,3,4,4,3,3.5,1,7,1,6,3.75,6,5,3,6,5,1,1,0,0,0.5,-5,2,-2,0,-1.25
FALSE,the Democratic Party,FALSE,Fall foliage decorating the road,A lake with the water glistening,snow,NA,NA,NA,1,1,1,1,6,3,6,6,1,1,2,2,6,6,4,6,NA,NA,NA,NA,6,3,6,6,5.25,1,1,1,1,1,6,6,4,6,5.5,1,1,2,2,1.5,5,2,5,5,4.25,5,5,2,4,4
FALSE,the Democratic Party,TRUE,Historic Brick Housing,Trees,Rock ledges & streams,NA,NA,NA,3,3,4,3,4,4,5,5,3,3,3,2,4,4,3,5,Man,FALSE,2,TRUE,4,4,5,5,4.5,3,3,4,3,3.25,4,4,3,5,4,3,3,3,2,2.75,1,1,1,2,1.25,1,1,0,3,1.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,"The weather, their destination, small talk about the day","Abortion, immigration",Israel Palestine,2,4,2,2,7,6,6,6,2,3,3,3,5,6,4,6,NA,NA,NA,NA,7,6,6,6,6.25,2,4,2,2,2.5,5,6,4,6,5.25,2,3,3,3,2.75,5,2,4,4,3.75,3,3,1,3,2.5
FALSE,the Democratic Party,TRUE,route 1 cactus,td garden,zakim bridge,NA,NA,NA,2,2,2,4,6,6,6,6,3,5,4,5,5,6,4,6,Woman,TRUE,4,TRUE,6,6,6,6,6,2,2,2,4,2.5,5,6,4,6,5.25,3,5,4,5,4.25,4,4,4,2,3.5,2,1,0,1,1
FALSE,the Republican Party,FALSE,Foliage,Railroads,Traffic,NA,NA,NA,4,3,4,4,3,3,4,4,3,4,3,4,2,5,2,5,Man,TRUE,4,TRUE,4,3,4,4,3.75,3,3,4,4,3.5,3,4,3,4,3.5,2,5,2,5,3.5,1,0,0,0,0.25,1,-1,1,-1,0
